State,Year,Gross_Enrollment_Primary,Gross_Enrollment_Secondary,Gross_Enrollment_Higher,Literacy_Rate_Youth,Literacy_Rate_Adult,Dropout_Rate_Primary,Dropout_Rate_Secondary,Education_Expenditure_GDP
Andhra Pradesh,2000,98.69,89.03,62.29,67.56,52.35,12.89,17.24,6.98
Andhra Pradesh,2000,91.01,91.19,20.70,94.29,,6.10,13.88,2.76
Andhra Pradesh,2000,72.87,58.73,70.04,84.41,80.41,4.44,25.72,7.27
Andhra Pradesh,2000,95.34,82.91,62.71,68.58,63.00,2.87,5.22,3.37
Andhra Pradesh,2000,99.10,76.88,30.42,81.90,60.52,14.79,26.18,2.64
Andhra Pradesh,2000,72.47,80.18,57.05,72.44,86.41,3.13,17.24,2.55
Andhra Pradesh,2000,74.77,65.38,25.44,91.06,52.83,12.93,28.55,6.22
Andhra Pradesh,2000,84.32,77.21,58.46,83.84,66.86,13.58,7.03,5.06
Andhra Pradesh,2000,91.16,86.89,57.95,65.44,58.65,6.45,10.84,7.79
Andhra Pradesh,2000,97.89,83.33,33.50,77.88,59.57,14.62,17.93,7.43
Andhra Pradesh,2001,71.62,94.19,74.28,77.35,87.19,11.78,27.53,4.19
Andhra Pradesh,2001,93.36,67.71,69.97,66.60,87.54,4.69,12.15,5.21
Andhra Pradesh,2001,86.34,64.92,26.39,91.13,69.20,8.58,21.12,7.50
Andhra Pradesh,2001,95.16,94.52,45.71,97.97,76.27,7.98,13.29,6.12
Andhra Pradesh,2001,70.82,63.16,40.73,83.77,64.05,14.79,12.29,4.93
Andhra Pradesh,2001,71.45,75.18,63.82,71.65,67.66,2.22,25.99,6.79
Andhra Pradesh,2001,98.66,67.64,49.20,77.08,78.61,14.72,29.94,6.76
Andhra Pradesh,2001,80.70,94.35,61.00,80.26,50.58,,29.60,5.38
Andhra Pradesh,2001,80.64,91.32,79.78,97.14,85.01,9.26,19.77,5.46
Andhra Pradesh,2001,90.08,55.47,32.27,93.42,93.38,9.01,5.79,7.60
Andhra Pradesh,2002,87.95,69.34,45.25,95.15,57.73,3.35,5.07,4.23
Andhra Pradesh,2002,70.34,60.22,36.63,66.07,79.18,9.39,7.43,5.77
Andhra Pradesh,2002,70.08,85.79,37.98,67.16,64.21,6.18,18.08,6.14
Andhra Pradesh,2002,79.65,63.88,38.58,98.99,87.34,14.67,22.33,4.73
Andhra Pradesh,2002,82.51,87.27,45.23,75.05,87.19,13.11,15.51,6.17
Andhra Pradesh,2002,71.35,51.31,54.84,75.31,85.64,13.65,8.48,6.48
Andhra Pradesh,2002,89.55,77.43,48.52,96.50,75.01,14.88,17.73,3.14
Andhra Pradesh,2002,87.91,81.19,45.45,68.32,72.49,3.06,22.05,6.85
Andhra Pradesh,2002,85.97,75.54,74.96,86.33,56.98,7.67,21.37,6.35
Andhra Pradesh,2002,98.55,52.66,78.94,94.16,81.69,11.55,6.82,2.73
Andhra Pradesh,2003,86.42,59.69,70.91,80.16,83.38,10.49,13.00,3.84
Andhra Pradesh,2003,87.59,61.41,68.16,66.86,83.56,7.71,23.28,7.60
Andhra Pradesh,2003,74.53,86.29,44.95,67.56,84.51,5.79,6.22,7.47
Andhra Pradesh,2003,91.49,89.87,15.02,88.39,86.82,4.73,17.24,2.99
Andhra Pradesh,2003,73.25,86.74,65.15,76.80,83.13,2.00,28.29,5.53
Andhra Pradesh,2003,86.84,88.55,54.63,95.86,77.95,4.22,27.84,6.25
Andhra Pradesh,2003,72.26,69.29,30.54,86.43,88.73,14.56,16.36,6.82
Andhra Pradesh,2003,77.28,77.35,78.05,98.58,80.83,13.53,10.01,3.85
Andhra Pradesh,2003,75.73,68.92,53.32,85.53,64.01,13.97,27.88,4.66
Andhra Pradesh,2003,89.89,67.20,41.93,76.83,61.30,7.96,22.16,6.58
Andhra Pradesh,2004,92.94,50.29,46.01,91.99,80.24,8.16,21.12,7.49
Andhra Pradesh,2004,99.42,81.75,52.27,66.27,67.97,9.35,24.93,4.91
Andhra Pradesh,2004,92.34,68.86,46.59,92.29,64.22,3.26,18.01,5.41
Andhra Pradesh,2004,71.66,76.63,59.28,98.52,95.24,11.26,18.04,3.39
Andhra Pradesh,2004,91.76,78.59,61.42,79.59,84.93,3.87,9.06,3.40
Andhra Pradesh,2004,94.05,60.51,45.45,96.14,78.12,4.73,12.10,7.56
Andhra Pradesh,2004,83.80,67.03,29.51,88.33,84.48,5.57,24.73,7.20
Andhra Pradesh,2004,79.12,88.72,27.91,65.12,91.80,6.24,15.36,4.95
Andhra Pradesh,2004,96.77,77.76,49.27,76.07,61.70,10.11,16.17,7.51
Andhra Pradesh,2004,82.50,85.52,42.61,74.16,91.38,9.76,19.79,5.86
Andhra Pradesh,2005,71.02,86.48,23.38,89.54,53.95,6.88,6.58,5.37
Andhra Pradesh,2005,81.15,91.86,43.76,92.29,94.50,14.67,27.46,4.25
